iter	MAPE	RMSE
0	26.74134794	1745882.263
1	26.43418454	1703427.826
2	25.85994712	1664260.853
3	25.17749985	1631122.497
4	24.96521453	1596235.729
5	24.57690629	1565574.507
6	24.40400141	1540417.822
7	23.82610991	1518022.36
8	23.47538638	1492558.416
9	23.26112633	1472166.782
10	22.66766321	1454106.018
11	22.37425855	1434517.367
12	22.15178637	1417983.08
13	21.6855477	1405114.925
14	21.37158666	1392433.228
15	21.36598504	1382578.052
16	21.23151372	1367861.655
17	20.97679437	1351609.246
18	20.75670426	1338793.73
19	20.5176179	1325885.776
20	20.25654486	1317228.761
21	20.18120066	1309700.931
22	19.98055991	1297878.442
23	19.80258229	1291442.693
24	19.58025095	1280246.123
25	19.70741682	1268699.841
26	19.59236824	1261926.741
27	19.61588966	1255330.547
28	19.41069331	1245623.377
29	19.53910233	1240162.596
30	19.46136864	1235851.44
31	19.23105384	1229795.838
32	19.30923276	1223057.302
33	19.10739654	1218332.865
34	19.05344243	1213218.302
35	18.93627308	1208300.927
36	19.00301808	1202858.045
37	18.9504056	1199139.73
38	19.07568781	1195857.882
39	19.01399158	1192073.621
40	18.92780329	1188240.338
41	19.00452442	1182578.071
42	18.96015226	1179621.661
43	18.90091071	1177059.511
44	18.98631706	1172749.139
45	19.04259542	1166181.332
46	18.99206427	1164395.007
47	19.01333315	1162209.212
48	18.95437944	1159240.085
49	18.93202094	1155846.741
50	19.01572888	1150433.933
51	19.06385765	1147675.02
52	19.17308405	1142705.532
53	19.22441412	1140110.851
54	19.29653549	1138183.372
55	19.29804929	1135603.495
56	19.23874948	1133780.112
57	19.17331886	1131815.347
58	19.20664223	1127474.047
59	19.14779837	1125801.194
60	19.02010828	1123995.375
61	18.88260811	1122644.831
62	18.8133438	1121325.194
63	18.74674552	1119664.547
64	18.8315826	1114974.178
65	18.80442293	1112705.58
66	18.80553649	1111554.184
67	18.77618084	1110634.094
68	18.74561861	1107651.673
69	18.75463935	1106227.951
70	18.70971325	1104691.419
71	18.63601795	1102353.619
72	18.88298681	1100136.374
73	18.96573827	1095999.24
74	18.97419008	1094086.418
75	18.8355606	1093253.366
76	18.86097513	1089364.745
77	18.99534053	1087392.873
78	18.940665	1085701.086
79	18.91874874	1084924.852
80	18.87891725	1083893.967
81	18.93487526	1080379.061
82	18.89598984	1078297.177
83	18.86974482	1077626.335
84	18.86216031	1076069.292
85	18.85860308	1075133.906
86	18.8888692	1072951.521
87	18.87841156	1071938.232
88	18.85563019	1071041.423
89	18.7601104	1067946.698
90	18.78883754	1066054.962
91	18.75544642	1063604.636
92	18.72110022	1062663.994
93	18.7467592	1060959.717
94	18.11772231	1060178.388
95	18.05855282	1059353.918
96	17.96718695	1057946.248
97	18.19262137	1056197.124
98	18.21473776	1054864.815
99	18.23839917	1052080.861
100	18.3620111	1050463.24
101	18.35509418	1049475.139
102	18.33248173	1048542.702
103	18.16585481	1046910.821
104	18.06517126	1046184.146
105	18.1661412	1044543.735
106	18.20483727	1042050.669
107	18.15651672	1040333.698
108	18.12203074	1038483.902
109	18.30162481	1037168.615
110	18.19124386	1036398.195
111	18.25702028	1034922.9
112	18.20721381	1034229.237
113	18.27207577	1032373.92
114	18.24108317	1030285.342
115	18.23293221	1028634.603
116	18.17463928	1027081.052
117	18.0928452	1026425.193
118	18.03759887	1025664.986
119	17.96551075	1024331.258
120	17.05156054	1023681.596
121	17.04290995	1022438.864
122	17.13235611	1021142.003
123	17.18546106	1019366.492
124	17.1524954	1017551.687
125	17.21489816	1016761.986
126	17.21644325	1015494.428
127	17.00407826	1014934.951
128	16.74433882	1014156.795
129	16.6836513	1013523.856
130	16.68957378	1012640.659
131	16.06369436	1012190.908
132	16.18465318	1011070.9
133	15.98007307	1010014.925
134	15.99304999	1008824.903
135	15.96711555	1008400.371
136	15.92784313	1007551.076
137	15.84426006	1006293.021
138	15.81879508	1005758.949
139	15.80381797	1004202.522
140	15.77695405	1003179.63
141	15.78230268	1002659.486
142	15.793153	1001478.927
143	15.74106792	1000211.448
144	15.72616763	999691.9668
145	15.70358467	998763.6323
146	15.75627657	997511.4222
147	15.72678916	997152.8389
148	15.55701229	996671.6181
149	15.57287365	996152.9503
150	15.57451491	995174.5381
151	15.5158356	993921.9964
152	15.53720983	993502.9419
153	15.54780129	991524.7715
154	15.519303	990608.1467
155	15.52345949	990096.2695
156	15.48123742	989809.0177
157	15.54850528	989285.5738
158	15.53599508	988780.6375
159	15.52684868	988599.4057
160	15.53215544	987954.7075
161	15.4051876	987168.6311
162	15.3975514	986035.2836
163	15.504368	985108.0566
164	15.49687338	984614.4609
165	15.46777636	984152.5779
166	15.46907862	983641.3816
167	15.46271622	982468.6445
168	15.56271544	981585.8241
169	15.5375048	981251.9529
170	15.54305246	980394.1799
171	15.51480132	979726.7244
172	15.44846331	979376.2821
173	15.41913261	978080.1195
174	15.4037085	976890.1498
175	15.39516697	975563.0349
176	14.79291791	975350.2109
177	14.77390976	974577.7409
178	14.754603	974254.9743
179	14.80482011	973603.8758
180	14.77773597	972290.3089
181	14.77707406	971793.1773
182	14.7739649	970629.7498
183	14.81867384	969173.6236
184	14.81915987	968830.7512
185	14.81355777	968136.6339
186	14.7999982	967329.6883
187	14.80678915	966954.1441
188	14.72892858	966062.7779
189	14.71282432	965603.554
190	14.67916263	964630.4699
191	14.59940571	964156.5703
192	14.58775248	963813.6905
193	14.61897257	963488.1641
194	14.42715842	962928.4454
195	14.39050437	962039.1402
196	14.3926395	960535.4133
197	14.39999903	960302.0375
198	14.39484799	959940.6343
199	14.40256967	959144.5053
200	14.40167064	958836.2724
201	14.38560227	957895.6162
202	14.34290861	957240.8656
203	14.32972904	956100.3484
204	14.32127589	955812.664
205	14.31092284	955039.4521
206	14.40649623	954469.5954
207	14.45879835	953684.4822
208	14.4702205	953490.176
209	14.45371728	952700.3283
210	14.42114821	952527.0263
211	14.41382689	952140.1186
212	14.41734458	951553.0179
213	14.43757918	951258.7501
214	14.444081	949845.1366
215	14.43967087	948916.8289
216	14.43634775	948613.2523
217	14.43385237	948249.0027
218	14.41110026	947370.162
219	14.41815642	946792.0803
220	13.91196829	946530.5354
221	13.90543746	945973.3857
222	13.88619216	945535.3019
223	13.85466007	944854.5016
224	13.8502337	944558.7202
225	13.83657719	943740.1361
226	13.82890814	943163.3911
227	13.81766232	942399.2375
228	13.72320752	942029.7794
229	13.70162631	941796.1702
230	13.5832888	941109.2553
231	13.54414941	940298.1642
232	13.55960259	940069.6463
233	13.59688181	938585.4266
234	13.57491663	938028.0535
235	13.58829511	937749.8499
236	13.56728653	937420.8031
237	13.76187212	937095.1064
238	13.7507808	936833.1121
239	13.73706728	936089.7322
240	13.71791983	935431.8087
241	13.71725891	935061.6014
242	13.7100339	934113.2827
243	13.70427092	933763.6907
244	13.59568262	933195.6999
245	13.60324496	932680.0347
246	13.58929762	931728.1725
247	13.59311195	931494.4503
248	13.67699118	931188.4165
249	13.68456655	930828.7108
250	13.59812057	930236.7258
251	13.64033915	929584.7383
252	13.61399841	929365.6499
253	13.62369107	928791.0021
254	13.63285051	928459.6792
255	13.60995386	928265.3949
256	13.57385033	928100.7827
257	13.56694395	927925.4268
258	13.57145019	927385.2347
259	13.59210176	926693.5104
260	13.58042315	926015.2858
261	13.56668206	925745.2678
262	13.55719424	925519.8162
263	13.51269912	924803.0546
264	13.50563926	924568.6005
265	13.49002589	924245.3843
266	13.50492008	923948.0265
267	13.50080076	923758.3641
268	13.1111521	923298.2334
269	13.09120043	922607.6174
270	13.08874029	922269.23
271	13.11066729	921781.9609
272	13.11545745	921326.7624
273	13.11799868	920619.4344
274	13.10103392	919947.6672
275	13.08905468	919501.5025
276	13.1092275	919202.224
277	13.18742905	918895.9382
278	13.23569072	918315.2812
279	13.21899493	918050.4362
280	13.1743157	917582.4822
281	13.17762135	916601.9896
282	13.20124473	915794.5865
283	13.15738595	915216.7697
284	13.18341604	914711.7093
285	13.20019101	914291.6367
286	13.23844833	914042.4185
287	13.2313688	913164.3976
288	13.23489905	913008.0331
289	13.11992473	912523.5841
290	13.07630497	912177.9562
291	13.08260105	911962.4065
292	13.07634286	910996.2042
293	13.06878244	910851.0475
294	13.06979682	910695.0143
295	13.06824771	910434.759
296	13.14837945	909976.1898
297	13.1380769	909676.8634
298	13.14313691	908420.8225
299	13.14430767	908011.4472
300	13.1869231	907533.9565
301	13.17798956	906885.22
302	13.18277454	906662.0256
303	13.18177729	906447.7271
304	13.18256119	906253.3889
305	13.19701541	905631.988
306	13.19561126	905424.6932
307	13.18149875	904821.1388
308	13.1685727	904280.1765
309	13.16824079	903591.9467
310	13.17381024	903442.7001
311	13.13736289	903230.9853
312	13.13716064	902670.0936
313	13.0743809	902134.7231
