iter	MAPE	RMSE
0	0.04163964626	0.6626534045
1	0.03985702138	0.6351418404
2	0.03838425856	0.6126689983
3	0.0371046328	0.5927215489
4	0.03597454607	0.5757570354
5	0.03508542295	0.5617736969
6	0.03422247831	0.548403646
7	0.03350888102	0.5373351319
8	0.03289081508	0.527849783
9	0.03228597389	0.518396713
10	0.03181487241	0.5111322822
11	0.03131196196	0.5034037075
12	0.03088782763	0.4968725841
13	0.0304957505	0.491028134
14	0.03019598695	0.4860287033
15	0.02988343399	0.4816045977
16	0.0295497494	0.4770747566
17	0.02924207295	0.4730195891
18	0.02900180741	0.4695267866
19	0.0287427581	0.4659060875
20	0.0285177614	0.4627294208
21	0.02830137746	0.459574865
22	0.02813566998	0.4569535582
23	0.02793570249	0.4541220059
24	0.02776680208	0.4518054538
25	0.02760990013	0.4495451803
26	0.02744324619	0.4474451592
27	0.02726803641	0.445012621
28	0.02712544099	0.442751244
29	0.02700401271	0.4408636466
30	0.02686146787	0.4390435257
31	0.02675099476	0.4374003519
32	0.02664830535	0.4357593843
33	0.02651800884	0.4341680897
34	0.02642326362	0.4327078549
35	0.02630859069	0.4312678198
36	0.02621122551	0.429834714
37	0.02611600052	0.4284990932
38	0.02600240799	0.4268139933
39	0.02593229571	0.4257286491
40	0.02578543234	0.4240430568
41	0.02570393285	0.4226651513
42	0.0255771732	0.4209575861
43	0.02548657462	0.419758002
44	0.02539586786	0.4184344686
45	0.02531328201	0.417306886
46	0.02524668733	0.4163274584
47	0.02517541197	0.4153455199
48	0.02508968154	0.4142053682
49	0.02501607483	0.4132341483
50	0.02495993591	0.4123759954
51	0.02488840372	0.4113555849
52	0.02481393167	0.4103288068
53	0.02475654117	0.4094375197
54	0.02469287784	0.4085468468
55	0.02463306583	0.4076805499
56	0.02458378226	0.4069862407
57	0.02453266267	0.4060724049
58	0.02447992969	0.405318427
59	0.02441492302	0.4045082894
60	0.02435725854	0.4036829557
61	0.0243063386	0.4029694507
62	0.02425620292	0.4023125785
63	0.02420952593	0.4016022768
64	0.02416446282	0.4009876095
65	0.0240915851	0.4001072061
